go .	va !
i feel like i know you .	il me semble que je vous connais .
i feel like i know you .	il me semble que je te connais .
i feel like i know you .	j ai le sentiment de vous connaitre .
i feel like i know you .	j ai le sentiment de te connaitre .
i have a right to know .	j ai le droit de savoir .
i just didn t know how .	je n ai simplement pas su comment .
i just didn t know how .	je ne savais simplement pas comment .
i just want to go home .	je veux juste rentrer chez moi .
i know how they did it .	je sais comment elles l ont fait .
i know how they did it .	je sais comment ils l ont fait .
i know what not to eat .	je sais quoi ne pas manger .
i know why you re here .	je sais pourquoi vous etes ici .
i know why you re here .	je sais pourquoi tu es ici .
i know you can help us .	je sais que tu peux nous aider .
i know you can help us .	je sais que vous pouvez nous aider .
i need you to see this .	j ai besoin que tu le voies .
i need you to see this .	j ai besoin que vous le voyez .
i really can t do that .	je ne peux vraiment pas faire ca .
i really do have to go .	il me faut vraiment y aller .
i really do have to go .	il me faut vraiment m en aller .
i really don t get you .	je ne vous saisis vraiment pas .
i really don t get you .	je ne te saisis vraiment pas .
i really like that car .	j aime beaucoup cette voiture .
i really like this car .	j aime beaucoup cette voiture .
i really like this one .	j apprecie vraiment celui ci .
i really like this one .	j aime vraiment celui ci .
i see how you did that .	je vois comment vous l avez fait .
i see how you did that .	je vois comment tu l as fait .
i should get back home .	je devrais retourner chez moi .
i think i can help tom .	je crois que je peux aider tom .
i think tom is in love .	je pense que tom est tombe amoureux .
i think that went well .	je pense que ca s est bien passe .
i think this will work .	je pense que cela va marcher .
i think we can do that .	je pense que nous pouvons faire cela .
i think we can do that .	je pense que nous pouvons le faire .
i think you were right .	je pense que tu avais raison .
i think you were right .	je pense que vous aviez raison .
i try to do what i can .	j essaie de faire ce que je peux .
i want to go back home .	je veux rentrer chez moi .
i want to go right now .	je veux y aller tout de suite .
i want you out of here .	je vous veux hors d ici .
i want you out of here .	je te veux hors d ici .
i want you to see this .	je veux que tu voies ceci .
i want you to see this .	je veux que vous voyiez ceci .
i was happy to see him .	j etais content de le voir .
i was happy to see him .	j etais contente de le voir .
i was really very busy .	j etais vraiment tres occupe .
i was really very busy .	j etais vraiment tres occupee .
i went out to get help .	je suis sorti pour chercher de l aide .
i will do it right now .	je vais le faire maintenant .
i ll be going with you .	j irai avec toi .
i ll be going with you .	j irai avec vous .
i ll come back for you .	je reviendrai pour toi .
i ll come back for you .	je reviendrai pour vous .
i ll leave that to you .	je te le laisse .
i ll leave that to you .	je te la laisse .
i ll leave that to you .	je vous la laisse .
i ll leave that to you .	je vous le laisse .
i m just not very busy .	je ne suis simplement pas tres occupe .
i m just not very busy .	je ne suis simplement pas tres occupee .
i m not busy right now .	je ne suis pas occupe pour le moment .
i m not busy right now .	je ne suis pas occupee a l instant .
i m not home right now .	je ne suis pas chez moi a l heure actuelle .
i m not ready for this .	je ne suis pas pret pour ca .
i m not ready for this .	je ne suis pas prete pour ceci .
i m ready to leave now .	je suis pret a partir maintenant .
is he going to help us ?	va t il nous aider ?
it didn t go very well .	cela ne s est pas tres bien passe .
it should be like this .	ca devrait etre ainsi .
it was never like that .	ca n a jamais ete ainsi .
it s all right with me .	je vais bien .
it s going really well .	ca se deroule vraiment tres bien .
it s going really well .	ca se passe vraiment tres bien .
it s time for us to go .	il est temps pour nous d y aller .
it s time for us to go .	il est l heure pour nous de partir .
it s time we went home .	c est l heure ou nous sommes rentres a la maison .
it s what i want to do .	c est ce que je veux faire .
no one can go in there .	personne ne peut penetrer ici .
she got out of the car .	elle est sortie de la voiture .
she is in need of help .	elle a besoin d aide .
so how did he like it ?	alors ca lui a plu ?
tell me how to do that .	dites moi comment faire cela .
tell me how to do that .	dis moi comment faire ca .
tell me how to do this .	dis moi comment le faire .
tell me how to do this .	dites moi comment le faire .
tell me how you did it .	dis moi comment tu l as fait !
tell me how you did it .	dites moi comment vous l avez fait !
tell me what you think .	dites moi ce que vous pensez .
that ll be all for now .	ce sera tout pour l instant .
that ll be all for now .	ce sera tout pour le moment .
that s right isn t it ?	c est vrai n est ce pas ?
that s why we want you .	c est pourquoi nous te voulons .
that s why we want you .	c est pourquoi nous vous voulons .
that s why we want you .	c est pourquoi c est vous que nous voulons .
that s why we want you .	c est pourquoi c est toi que nous voulons .
there is no going back .	un retour en arriere est exclu .
there is no going back .	il n y a pas de retour possible .
they are all very busy .	ils sont tous tres occupes .
they are all very busy .	elles sont toutes tres occupees .
they re out to get you .	ils sont a vos trousses .
they re out to get you .	ils sont a tes trousses .
they re out to get you .	elles sont a vos trousses .
they re out to get you .	elles sont a tes trousses .
tom can t help you now .	tom ne peut pas vous aider maintenant .
tom can t help you now .	tom ne peut pas t aider maintenant .
tom didn t tell me why .	tom ne m a pas dit pourquoi .
tom isn t happy at all .	tom n est pas du tout content .
tom will never give up .	tom n abandonnera jamais .
tom i m happy for you .	tom je suis heureuse pour toi .
tom i m happy for you .	tom je suis heureuse pour vous .
tom i m happy for you .	tom je suis heureux pour toi .
tom i m happy for you .	tom je suis heureux pour vous .
we all want to go home .	nous voulons tous aller chez nous .
we all want to go home .	nous voulons tous aller a la maison .
we can do it right now .	nous pouvons le faire immediatement .
we can do it right now .	nous pouvons le faire sur le champ .
we can t go back there .	nous ne pouvons y retourner .
we could be happy here .	nous pourrions etre heureux ici .
we did all we could do .	nous avons fait tout ce que nous avons pu .
we don t have the time .	nous n avons pas le temps .
we just don t know why .	nous ne savons simplement pas pourquoi .
we know where you were .	nous savons ou tu etais .
we know where you were .	nous savons ou vous etiez .
we want to do that now .	nous voulons faire cela maintenant .
we ll be happy to help .	nous serons heureux d aider .
we ll be happy to help .	nous serons heureuses d aider .
we ll help you do that .	nous vous aiderons a faire cela .
we ll help you do that .	on t aidera a faire ca .
we re happy to be here .	nous sommes heureux d etre ici .
well i have to go now .	bien je dois y aller maintenant .
what can we do for tom ?	que pouvons nous faire pour tom ?
what did i do that for ?	pourquoi ai je fait cela ?
what did you try to do ?	qu as tu essaye de faire ?
what do i need to know ?	qu ai je besoin de savoir ?
what do they look like ?	a quoi est ce qu ils ressemblent ?
what do they look like ?	a quoi ressemblent elles ?
what do you have to do ?	que te faut il faire ?
what do you have to do ?	que vous faut il faire ?
what do you like to do ?	qu aimes tu faire ?
what do you like to do ?	qu aimez vous faire ?
what do you see in him ?	que lui trouves tu ?
what do you see in him ?	que lui trouvez vous ?
what do you want to be ?	que veux tu etre ?
what do you want to be ?	que voulez vous etre ?
what do you want to do ?	que veux tu faire ?
what good will that do ?	qu est ce que ca peut bien faire de bon ?
what should i look for ?	que devrais je chercher ?
what time can you come ?	a quelle heure pouvez vous venir ?
what time do you leave ?	a quelle heure partez vous ?
what time do you leave ?	a quelle heure pars tu ?
what was in it for you ?	qu y avait il la pour vous ?
what was in it for you ?	qu y avait il la pour toi ?
what was in it for you ?	qu y trouviez vous ?
what was in it for you ?	qu y trouvais tu ?
what ll they do to tom ?	que vont ils faire a tom ?
what ll they do to tom ?	que feront elles a tom ?
what ll they do to tom ?	qu est ce qu ils vont faire a tom ?
where could we do that ?	ou pourrions nous faire cela ?
where did the money go ?	ou est passe l argent ?
where did the money go ?	dans quoi est passe l argent ?
where did you get that ?	ou as tu degote ca ?
where did you get that ?	ou as tu obtenu ca ?
where did you get that ?	ou avez vous degote ca ?
where did you get that ?	ou avez vous obtenu ca ?
where do we need to go ?	ou avons nous besoin d aller ?
where were you on ?	ou etiez vous le onze septembre ?
where were you on ?	ou etais tu le onze septembre ?
why are you still here ?	pourquoi es tu encore la ?
why are you still here ?	pourquoi etes vous encore la ?
why did tom have to go ?	pourquoi tom devait il partir ?
why did tom need to go ?	pourquoi tom devait il partir ?
why didn t she tell me ?	pourquoi ne me l a t elle pas dit ?
why didn t you do that ?	pourquoi ne l as tu pas fait ?
why didn t you do that ?	pourquoi ne l avez vous pas fait ?
why didn t you tell me ?	pourquoi tu me l as pas dit ?
why didn t you tell me ?	pourquoi ne me l avez vous pas dit ?
why didn t you tell me ?	pourquoi ne pas me l avoir dit ?
why didn t you tell me ?	pourquoi ne me l as tu pas dit ?
will you give it to me ?	me le donnerez vous ?
will you give it to me ?	me le donneras tu ?
won t you come with me ?	ne viendras tu pas avec moi ?
you can t come with us .	vous ne pouvez pas venir avec nous .
you can t come with us .	tu ne peux pas venir avec nous .
you can t do that here .	tu ne peux pas faire ca ici .
you can t do that here .	vous ne pouvez pas faire cela ici .
you can t give up tom .	tu ne peux pas abandonner tom .
you can t go out there .	tu ne peux pas aller la dehors .
you can t go right now .	tu ne peux pas y aller maintenant .
you can t go right now .	vous ne pouvez pas y aller maintenant .
you can t leave me now .	tu ne peux pas me laisser maintenant .
you can t leave me now .	vous ne pouvez pas me laisser maintenant .
you don t have to come .	tu n es pas obligee de venir .
you don t have to come .	tu n es pas oblige de venir .
you don t have to come .	vous n etes pas obligee de venir .
you don t have to come .	vous n etes pas obligees de venir .
you don t have to come .	vous n etes pas obliges de venir .
you don t have to come .	vous n etes pas oblige de venir .
you don t have to come .	vous n etes pas force de venir .
you don t have to come .	vous n etes pas forcee de venir .
you don t have to come .	vous n etes pas forcees de venir .
you don t have to come .	vous n etes pas forces de venir .
you don t have to come .	tu n es pas forcee de venir .
you don t have to come .	tu n es pas force de venir .
you don t look so busy .	tu n as pas l air si occupe .
you don t look so busy .	vous n avez pas l air si occupee .
you don t look so busy .	tu n as pas l air si occupee .
you don t look so busy .	vous n avez pas l air si occupe .
you don t look so busy .	vous n avez pas l air si occupes .
you don t look so busy .	vous n avez pas l air si occupees .
you don t look so well .	tu n as pas l air si bien que ca .
you don t look so well .	vous n avez pas l air si bien que ca .
you don t need my help .	vous n avez pas besoin de mon aide .
you don t need my help .	tu n as pas besoin de mon aide .
you don t need one now .	vous n en avez pas besoin d une maintenant .
you don t need one now .	tu n en as pas besoin d une maintenant .
you don t need to know .	vous n avez pas besoin de le savoir .
you don t need to know .	tu n as pas besoin de le savoir .
you don t want to know .	tu ne veux pas savoir .
you don t want to know .	vous ne voulez pas savoir .
you don t want to know .	tu ne veux pas le savoir .
you don t want to know .	vous ne voulez pas le savoir .
you know what they say .	tu sais ce qu ils disent .
you know what they say .	tu sais ce qu elles disent .
you know what they say .	tu sais ce qu on dit .
you know what they say .	vous savez ce qu ils disent .
you know what they say .	vous savez ce qu elles disent .
you like it don t you ?	tu aimes cela n est ce pas ?
you like it don t you ?	vous aimez cela n est ce pas ?
you look just like him .	tu lui ressembles exactement .
you look just like him .	tu lui ressembles comme a une goutte d eau .
you must do this alone .	tu dois faire ceci tout seul .
you must do this alone .	tu dois faire ceci seule .
you must do this alone .	vous devez faire ceci toute seule .
you must do this alone .	vous devez faire ceci seul .
you never stop do you ?	vous n arretez jamais n est ce pas ?
you never stop do you ?	tu n arretes jamais n est ce pas ?
you should do that now .	tu devrais faire ca maintenant .
you should do that now .	vous devriez faire cela maintenant .
you should go home now .	tu devrais aller chez toi maintenant .
you should go home now .	tu devrais aller chez nous maintenant .
you should go home now .	vous devriez aller chez vous maintenant .
you should go home now .	tu devrais aller a la maison maintenant .
you should go home now .	vous devriez aller a la maison maintenant .
you won t go will you ?	vous ne vous en irez pas si ?
you won t go will you ?	tu ne t en iras pas si ?
you won t go will you ?	vous n irez pas si ?
you won t go will you ?	tu n iras pas si ?
all i want is your love .	tout ce que je veux c est ton amour .
all i want is your love .	tout ce que je veux c est ton affection .
all i want is your love .	tout ce que je veux c est votre amour .
all i want is your love .	tout ce que je veux c est votre affection .
all of us know him well .	on le connait tous bien .
are you happy right now ?	es tu heureux en ce moment ?
are you happy right now ?	es tu heureuse en ce moment ?
are you happy right now ?	etes vous heureux en ce moment ?
are you happy right now ?	etes vous heureuse en ce moment ?
are you happy right now ?	etes vous heureuses en ce moment ?
are you happy with that ?	en es tu content ?
are you happy with that ?	en es tu contente ?
are you happy with that ?	en etes vous content ?
are you happy with that ?	en etes vous contente ?
are you happy with that ?	en etes vous contents ?
are you happy with that ?	en etes vous contentes ?
are you here to help us ?	est ce que tu es la pour nous aider ?
are you here to help us ?	es tu ici pour nous aider ?
are you here to help us ?	etes vous ici pour nous aider ?
are you in love with me ?	etes vous amoureux de moi ?
are you ready to go out ?	es tu pret a sortir ?
are you ready to go out ?	es tu prete a sortir ?
are you ready to go out ?	etes vous pret a sortir ?
are you ready to go out ?	etes vous prete a sortir ?
are you ready to go out ?	etes vous prets a sortir ?
are you ready to go out ?	etes vous pretes a sortir ?
did tom know what to do ?	tom savait il quoi faire ?
did you come here alone ?	etes vous venu seul ici ?
did you come here alone ?	es tu venue seule ici ?
did you come here alone ?	etes vous venus seuls ici ?
did you come here alone ?	es tu venu seul ici ?
do i look like i m busy ?	ai je l air d etre occupe ?
do i look like i m busy ?	ai je l air d etre occupee ?
do you know what he did ?	savez vous ce qu il a fait ?
do you know what it was ?	sais tu ce que c etait ?
do you know what it was ?	savez vous ce que c etait ?
do you know where it is ?	sais tu ou c est ?
do you know where it is ?	sais tu ou elle est ?
do you know where it is ?	savez vous ou c est ?
do you like to be alone ?	aimez vous etre seul ?
do you like to be alone ?	aimes tu etre seul ?
do you want me to leave ?	veux tu que je parte ?
do you want me to leave ?	voulez vous que je parte ?
do you want to try this ?	veux tu essayer ceci ?
do you want to try this ?	voulez vous essayer ceci ?
don t give me that look .	ne me jette pas ce regard !
don t give me that look .	ne me jetez pas ce regard !
don t give up like that .	n abandonne pas comme ca .
don t give up like that .	n abandonnez pas comme cela .
don t you do this to me .	ne me fais pas ca !
don t you do this to me .	ne me faites pas ca !
he did it for the money .	il a fait cela pour l argent .
he did it for the money .	il l a fait pour l argent .
he did it for the money .	il l a fait pour le fric .
he didn t want to do it .	il ne voulut pas le faire .
he didn t want to do it .	il n a pas voulu le faire .
he didn t want to leave .	il ne voulait pas partir .
he isn t at home is he ?	il n est pas a la maison n est ce pas ?
he won t leave me alone .	il refuse de me laisser en paix .
he won t leave us alone .	il ne va pas nous foutre la paix .
he won t leave us alone .	il ne va pas nous ficher la paix .
he s going to love this .	il va adorer ca .
how could they not know ?	comment pouvaient ils l ignorer ?
how could they not know ?	comment pouvaient elles l ignorer ?
how did i not know that ?	comment l ignorais je ?
how did it all work out ?	comment tout cela s est il resolu ?
how did you get in here ?	comment as tu penetre ici ?
how did you get in here ?	comment avez vous penetre ici ?
how do you think i feel ?	comment penses tu que je me sente ?
how do you think i feel ?	comment pensez vous que je me sente ?
i am very happy with it .	ca me plait beaucoup .
i can t do it right now .	je ne peux pas le faire maintenant .
i can t do what they do .	je ne peux pas faire ce qu ils font .
i can t eat all of this .	je ne peux pas manger tout ca .
i can t eat all of this .	je ne peux pas manger tout ceci .
i can t go on with this .	je ne peux pas continuer ca .
i can t go on with this .	je ne peux pas continuer comme ca .
i can t help how i look .	je ne suis pas responsable de mon apparence .
i can t tell what it is .	je ne peux pas dire ce qu il est .
i could do that for you .	je pourrais le faire pour toi .
i could do that for you .	je pourrais le faire pour vous .
i didn t do this did i ?	je n ai pas fait cela si ?
i didn t need your help .	je n avais pas besoin de ton aide .
i didn t need your help .	je n avais pas besoin de votre aide .
i didn t need your help .	je n ai pas eu besoin de ton aide .
i didn t need your help .	je n ai pas eu besoin de votre aide .
i do not need money now .	je n ai pas besoin d argent tout de suite .
i do that for the money .	je fais ca pour l argent .
i don t have to be here .	je ne suis pas oblige d etre la .
i don t have to be here .	je ne suis pas obligee d etre la .
i don t know him at all .	je ne le connais pas du tout .
i don t know how i know .	j ignore d ou je le sais .
i don t know how i know .	j ignore d ou je le tiens .
i don t know how i know .	j ignore comment je le sais .
i don t know what it is .	je ne sais pas ce que c est .
i don t know what it is .	je ne sais pas ce que c est .
i don t know what it is .	j ignore ce que c est .
i don t know what it is .	j ignore ce dont il s agit .
i don t know what to do .	je ne sais que faire .
i don t know what to do .	je ne sais pas quoi faire .
i don t like tom at all .	je n aime pas tom du tout .
i don t like tom at all .	tom ne me plait pas du tout .
i don t like you at all .	je ne t aime pas du tout .
i don t like you at all .	je ne vous aime pas du tout .
i don t need to be here .	je n ai pas besoin d etre ici .
i don t really know why .	je ne sais pas vraiment pourquoi .
i don t really know you .	je ne vous connais pas vraiment .
i don t really know you .	je ne te connais pas vraiment .
i don t really like him .	je ne l aime pas vraiment .
i don t really like him .	je ne l apprecie pas vraiment .
i don t really like you .	je ne vous aime pas vraiment .
i don t really like you .	je ne t aime pas vraiment .
i don t really like you .	je ne vous apprecie pas vraiment .
i don t really like you .	je ne t apprecie pas vraiment .
i don t really think so .	je ne le crois pas vraiment .
i don t think i like it .	je ne pense pas que j apprecierai .
i don t want to be here .	je n ai pas envie d etre ici .
i don t want to do that .	je ne veux pas faire ca .
i don t want to do that .	je ne souhaite pas faire cela .
i don t want to give up .	je ne veux pas abandonner .
i don t want to see you .	je ne veux pas te voir .
i don t want to see you .	je ne veux pas vous voir .
i eat here all the time .	je mange ici tout le temps .
i got this one for .	j ai obtenu celle ci pour trois cents dollars .
i got this one for .	j ai eu celui ci pour trois cents dollars .
i have no money with me .	je n ai pas de monnaie sur moi .
i have to do this alone .	il me faut le faire seul .
i have to do this alone .	il me faut le faire seule .
i just do what i can do .	je ne fais que ce que je peux .
i just need to be alone .	j ai simplement besoin d etre seul .
i just need to be alone .	j ai simplement besoin d etre seule .
i just want to be alone .	je veux simplement etre seule .
i just want to be alone .	je veux simplement etre seul .
i just want to be alone .	je veux simplement me trouver seule .
i just want to be alone .	je veux simplement me retrouver seule .
i just want to help you .	je veux juste t aider .
i just want to help you .	je veux juste vous aider .
i just want to know why .	je veux juste savoir pourquoi .
i just want to know why .	je veux simplement savoir pourquoi .
i just want you to come .	je veux seulement que tu viennes .
i know tom will want it .	je sais que tom voudra l avoir .
i know how busy you are .	je sais combien tu es occupe .
i know how busy you are .	je sais combien tu es occupee .
i know how busy you are .	je sais combien vous etes occupe .
i know how busy you are .	je sais combien vous etes occupees .
i know how busy you are .	je sais combien vous etes occupee .
i know how busy you are .	je sais combien vous etes occupes .
i must do that i think .	je dois faire cela je pense .
i need you to leave now .	il faut que vous vous en alliez maintenant .
i need you to leave now .	j ai besoin que tu partes maintenant .
i need you to leave now .	j ai besoin que vous partiez maintenant .
i really don t think so .	je ne le pense vraiment pas .
i really have to go now .	il me faut vraiment y aller maintenant .
i really like what i do .	j aime vraiment ce que je fais .
i really like your work .	j apprecie vraiment votre travail .
i really like your work .	j apprecie vraiment ton travail .
i really love what i do .	j aime vraiment ce que je fais .
i really need the money .	j ai vraiment besoin de l argent .
i really need your help .	j ai vraiment besoin de ton aide .
i really need your help .	j ai vraiment besoin de votre aide .
i really should do that .	je devrais vraiment faire ca .
i say that all the time .	je le dis tout le temps .
i still have to do that .	je dois toujours faire ca .
i still have work to do .	j ai encore du travail a faire .
i think tom can do that .	je pense que tom peut faire cela .
i think it s going well .	je pense que ca va bien .
i think that i know you .	je pense que je vous connais .
i think we re all right .	je pense que tout va bien pour nous .
i want tom to come back .	je veux que tom revienne .
i want to do it for you .	je veux le faire pour vous .
i want to do it for you .	je veux le faire pour toi .
i want to do this alone .	je veux faire ca seule .
i want to do this alone .	je veux faire ca seul .
i want to do this right .	je veux faire ca correctement .
i want to help you tom .	je veux t aider tom .
i want to help you tom .	je veux vous aider tom .
i want to look like her .	je veux lui ressembler .
i want to look like her .	je veux paraitre comme elle .
i want to look like her .	je veux avoir le meme air qu elle .
i want to work with you .	je veux travailler avec vous .
i want to work with you .	je veux travailler avec toi .
i want you to come back .	je veux que vous reveniez .
i want you to come back .	je veux que tu reviennes .
i want you to have this .	je veux que tu aies ceci .
i want you to have this .	je veux que vous ayez ceci .
i want you to know that .	je veux que vous sachiez cela .
i want you to know that .	je veux que tu saches ca .
i was happy to help you .	j etais heureux de vous aider .
i was happy to help you .	j etais heureux de t aider .
i was really very happy .	j etais vraiment tres heureux .
i went there to see her .	je suis alle la bas pour la voir .
i d like to be with tom .	je voudrais etre avec tom .
i d like to do that now .	j aimerais faire ca maintenant .
i d like to go home now .	j aimerais me rendre maintenant a la maison .
i d like to go with you .	j aimerais m y rendre avec toi .
i d like to go with you .	j aimerais y aller avec toi .
i d like to go with you .	j aimerais m y rendre avec vous .
i d like to go with you .	j aimerais y aller avec vous .
i d really like to know .	j aimerais vraiment savoir .
i ll have her come here .	je la ferai venir ici .
i ll leave it up to you .	je vous laisserai la decision .
i ll leave it up to you .	je te laisse la decision .
i ll leave it up to you .	je te laisserai la decision .
i ll leave it up to you .	je te laisse en decider .
i ll leave it up to you .	je vous laisse en decider .
i ll leave it up to you .	je vous laisse la decision .
i ll leave it up to you .	je vous en laisse la decision .
i ll leave it up to you .	je t en laisse la decision .
i ll leave it up to you .	je vous en laisserai la decision .
i ll leave it up to you .	je t en laisserai la decision .
i ll leave it up to you .	je te laisserai en decider .
i ll leave it up to you .	je vous laisserai en decider .
i ll never work for you .	je ne travaillerai jamais pour vous .
i ll never work for you .	je ne travaillerai jamais pour toi .
i m busy so i can t go .	je suis occupe je ne peux donc m y rendre .
i m busy so i can t go .	je suis occupe je ne peux donc y aller .
i m busy so i can t go .	je suis occupe alors je ne peux pas m y rendre .
i m busy so i can t go .	je suis occupe alors je ne peux pas y aller .
i m not happy with this .	je n en suis pas content .
i m not happy with this .	j en suis mecontent .
i m not very good at it .	je n y excelle pas .
i m not very good at it .	je n y suis pas tres bon .
is that all you can say ?	est ce la tout ce que tu peux dire ?
is that all you can say ?	est ce la tout ce que vous pouvez dire ?
it s not like you think .	ce n est pas comme vous pensez .
it s not like you think .	ce n est pas comme tu penses .
it s not what you think .	ce n est pas ce que vous pensez !
just tell me what to do .	dis moi juste quoi faire !
just tell me what to do .	dites moi juste quoi faire !
may i have a look at it ?	puis je y jeter un il ?
she is in love with him .	elle est amoureuse de lui .
tell me what to do here .	dis moi quoi faire ici !
tell me what to do here .	dites moi quoi faire ici !
tell me what s going on .	dis moi ce qui se passe !
tell me what s going on .	dites moi ce qui se passe !
tell us what s going on .	dites nous ce qu il se passe .
tell us what s going on .	dis nous ce qui se passe .
that one is really good .	celui ci est vraiment bien .
that one is really good .	celle ci est vraiment bonne .
that s all i should say .	c est tout ce que je devrais dire .
that s how it should be .	c est tel que ca devrait etre .
that s how it should be .	c est ainsi que ca devrait etre .
that s just what i need .	c est precisement ce dont j ai besoin .
that s just what i need .	c est precisement ce qu il me faut .
that s not how i see it .	ce n est pas ainsi que je le vois .
that s not what i think .	ce n est pas ce que je pense .
that s not what we want .	ce n est pas ce que nous voulons .
that s what we all want .	c est ce que nous voulons tous .
that s what we all want .	c est ce que nous voulons toutes .
that s what you all say .	c est ce que vous dites tous .
that s what you all say .	c est ce que vous dites toutes .
there s no one with tom .	il n y a personne avec tom .
they are all very happy .	ils sont tous tres heureux .
they are all very happy .	elles sont toutes tres heureuses .
they don t have to know .	il n est pas necessaire qu ils sachent .
they don t have to know .	il n est pas necessaire qu elles sachent .
they ll know what to do .	ils sauront quoi faire .
they ll know what to do .	elles sauront quoi faire .
this is going very well .	ca se passe tres bien .
this is not good at all .	ce n est pas bien du tout .
this isn t good for tom .	ce n est pas bon pour tom .
this time i can t help .	cette fois je ne peux pas aider .
tom can do it can t he ?	tom peut le faire non ?
tom can t do this alone .	tom ne peut pas faire ceci tout seul .
tom didn t come did he ?	tom n est pas venu n est ce pas ?
tom didn t tell me this .	tom ne m a pas dit ceci .
tom didn t want my help .	tom ne voulait pas de mon aide .
tom got back in the car .	tom est retourne dans la voiture .
tom got back in the car .	tom est remonte dans la voiture .
was that you in the car ?	est ce que c etait toi dans la voiture ?
we didn t tell you that .	nous ne vous avons pas dit cela .
we didn t tell you that .	nous ne t avons pas dit ca .
we didn t tell you that .	on ne t a pas dit ca .
we didn t think of that .	nous n y avons pas pense .
we didn t think of that .	nous n y avons pas songe .
we do that all the time .	nous le faisons tout le temps .
we do this all the time .	nous le faisons tout le temps .
we don t have the money .	nous n avons pas l argent .
we don t want tom to go .	nous ne voulons pas que tom y aille .
we made it out of there .	nous reussimes a nous extirper de la .
we made it out of there .	nous avons reussi a nous extirper de la .
we should never give up .	nous ne devrions jamais abandonner .
we still need your help .	nous avons encore besoin de votre aide .
we still need your help .	nous avons encore besoin de ton aide .
we re not going are we ?	nous n y allons pas si ?
what are we going to do ?	qu allons nous faire ?
what did they do to you ?	qu est ce qu ils t ont fait ?
what did they do to you ?	qu est ce qu elles t ont fait ?
what did they do to you ?	qu est ce qu ils vous ont fait ?
what did they do to you ?	qu est ce qu elles vous ont fait ?
what did you have to do ?	qu est ce que tu devais faire ?
what do i get out of it ?	qu est ce que j en retire ?
what do you like to eat ?	qu aimes tu manger ?
what do you like to eat ?	qu est ce que tu aimes manger ?
what do you think i did ?	que pensez vous que j aie fait ?
what do you think i did ?	que penses tu que j aie fait ?
what do you think of it ?	qu en penses tu ?
what do you want it for ?	pourquoi le veux tu ?
what do you want it for ?	pourquoi le voulez vous ?
what do you want to eat ?	que voulez vous manger ?
what do you want to say ?	que veux tu dire ?
what good is that to us ?	a quoi ca nous sert ?
what made you come here ?	qu est ce qui t a amene ici ?
what time do you get up ?	a quelle heure te leves tu ?
what time will we leave ?	a quelle heure partirons nous ?
what will they do to us ?	que nous feront ils ?
what s going on in here ?	que se passe t il la dedans ?
where are they going to ?	ou vont ils ?
where are you all going ?	ou allez vous tous ?
where are you all going ?	ou allez vous toutes ?
where can i try this on ?	ou puis je essayer cela ?
where do you want to go ?	ou veux tu aller ?
where do you want to go ?	ou voulez vous aller ?
where should we do that ?	ou devrions nous faire cela ?
where should we do that ?	ou devrait on faire ca ?
why are you all so busy ?	pourquoi etes vous tous si occupes ?
why are you all so busy ?	pourquoi etes vous toutes si occupees ?
why did i not know this ?	pourquoi l ignorais je ?
why did you do all this ?	pourquoi as tu fait tout ceci ?
why did you do all this ?	pourquoi avez vous fait tout ceci ?
why didn t you stop tom ?	pourquoi n as tu pas stoppe tom ?
why didn t you stop tom ?	pourquoi n avez vous pas arrete tom ?
why do you want my help ?	pourquoi as tu besoin de mon aide ?
why do you want to know ?	pourquoi voulez vous savoir ?
why don t we just leave ?	pourquoi ne partons nous pas simplement ?
why don t you leave tom ?	pourquoi ne quittes tu pas tom ?
why don t you leave tom ?	pourquoi ne quittez vous pas tom ?
you are to come with me .	vous devez venir avec moi .
you are to come with me .	tu dois venir avec moi .
you can t do this alone .	tu ne peux pas faire ca tout seul .
you can t do this alone .	vous ne pouvez pas faire ca tout seul .
you can t do this to me .	tu ne peux pas me faire ca .
you can t do this to me .	vous ne pouvez pas me faire ca .
you can t do this to us .	vous ne pouvez pas nous faire ca .
you can t do this to us .	tu ne peux pas nous faire ca .
you can t give tom that .	tu ne peux pas donner ca a tom .
you can t give tom that .	vous ne pouvez pas donner cela a tom .
you could well be right .	tu pourrais bien avoir raison .
you could well be right .	vous pourriez bien avoir raison .
you didn t need to come .	tu n avais pas besoin de venir .
you didn t need to come .	vous n aviez pas besoin de venir .
you don t have the time .	tu n as pas le temps .
you don t have the time .	vous n avez pas le temps .
you don t have the time .	tu ne disposes pas du temps .
you don t have the time .	vous ne disposez pas du temps .
you like her don t you ?	tu l aimes n est ce pas ?
you like him don t you ?	tu l aimes n est ce pas ?
you should not go alone .	tu ne devrais pas y aller seul .
you should not go alone .	tu ne devrais pas y aller seule .
you should not go alone .	tu ne devrais pas t y rendre seul .
you should not go alone .	tu ne devrais pas t y rendre seule .
you should not go alone .	vous ne devriez pas vous y rendre seul .
you should not go alone .	vous ne devriez pas y aller seul .
you should not go alone .	vous ne devriez pas vous y rendre seule .
you should not go alone .	vous ne devriez pas y aller seule .
you should not go alone .	vous ne devriez pas y aller seules .
you should not go alone .	vous ne devriez pas y aller seuls .
you should not go alone .	vous ne devriez pas vous y rendre seules .
you should not go alone .	vous ne devriez pas vous y rendre seuls .
you should not go there .	vous ne devriez pas vous y rendre .
you should not go there .	tu ne devrais pas y aller .
